SpecialAttributeID,AttributeLevel,FeatureExtractionProbability,WhetherTheInfluenceLevelLimit,SimpleDescription,ShortKnifeType07,LongKnifeType08,DaggerTypes09,SwordType10,BowType11,CrossbowType12,ArrowTypes13,VectorType14,LongRodType15,TheWandType16,ScepterType17,LongGeType18,SpearType19,SocialType20,HatchetType21,ShortGeType22,ShortStickType23,ShortHammerType24,HelmetType25,ArmorType26,ShieldType27,BootsType28,NecklaceType29,RingType30,WristType31,BeltType32,AttributeID,IfPer,ModifiedValue1MIN,ModifiedValue1MAX,ModifiedValue2MIN,ModifiedValue2MAX,ModifiedValue3MIN,ModifiedValue3MAX,ModifiedValue4MIN,ModifiedValue4MAX,ModifiedValue5MIN,ModifiedValue5MAX,ModifiedValue6MIN,ModifiedValue6MAX,ModifiedValue7MIN,ModifiedValue7MAX,ModifiedValue8MIN,ModifiedValue8MAX,ModifiedValue9MIN,ModifiedValue9MAX,PriceCorrectionRate,SubAttribute1,SubAttribute2,SubAttribute3,SubAttribute4,SubAttribute5,GemType0,TypeOfWood1,OreTypes2,AnimalBoneType3,SkinType4,AnimalTendonType5,MitreTypes33,RobeType34,WhetherTheGoldProperty
Uhpmax_100,1,100,,,,,,,,,,,,,,,,,1,,1,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,Thpmax_100,,,,,,,1,,,1,,,
Uhpmax_80,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thpmax_80,,,,,,,,,,,,,
Thpmax_300,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,30,60,61,90,91,120,121,150,151,180,181,210,211,240,241,270,271,300,20,,,,,,,,,,,,,,
Thpmax_200,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,20,40,41,60,61,80,81,100,101,120,121,140,141,160,161,180,181,200,15,,,,,,,,,,,,,,
Thpmax_150,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,15,30,31,45,46,60,61,75,76,90,91,105,106,120,121,135,136,150,15,,,,,,,,,,,,,,
Thpmax_100,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,10,20,21,30,31,40,41,50,51,60,61,70,71,80,81,90,91,100,10,,,,,,,,,,,,,,
Thpmax_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,8,16,17,24,25,32,33,40,41,48,49,56,57,64,65,72,73,80,10,,,,,,,,,,,,,,
Uhpmax%_60,1,100,,增加生命最大值%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thpmax%_60,,,,,,,,,,,,,
Uhpmax%_40,1,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thpmax%_40,,,,,,,,,,,,,
Uhpmax%_20,1,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thpmax%_20,,,,,,,,,,,,1,
Thpmax%_60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,30,36,37,39,40,42,43,45,46,48,49,51,52,54,55,57,58,60,50,,,,,,,,,,,,,,
Thpmax%_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,20,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,40,,,,,,,,,,,,,,
Thpmax%_20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,10,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,30,,,,,,,,,,,,,,
Umpmax_300,1,100,,增加精气最大值,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmpmax_300,,,,,,,,,,,1,1,
Umpmax_200,1,100,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmpmax_200,,,,,,,,,,,,,
Umpmax_150,1,100,,,1,1,1,1,1,1,,,,,,1,1,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Tmpmax_150,,,,,,,,1,,,,,
Umpmax_100,1,100,,,,,,,,,,,,,,,,,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,Tmpmax_100,,,,,,1,,,,,,,
Umpmax_80,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmpmax_80,,,,,,,,,,,,,
Tmpmax_300,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,30,60,61,90,91,120,121,150,151,180,181,210,211,240,241,270,271,300,20,,,,,,,,,,,,,,
Tmpmax_200,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,20,40,41,60,61,80,81,100,101,120,121,140,141,160,161,180,181,200,15,,,,,,,,,,,,,,
Tmpmax_150,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,15,30,31,45,46,60,61,75,76,90,91,105,106,120,121,135,136,150,15,,,,,,,,,,,,,,
Tmpmax_100,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,10,20,21,30,31,40,41,50,51,60,61,70,71,80,81,90,91,100,10,,,,,,,,,,,,,,
Tmpmax_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,8,16,17,24,25,32,33,40,41,48,49,56,57,64,65,72,73,80,10,,,,,,,,,,,,,,
Umpmax%_60,1,100,,增加精气最大值%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmpmax%_60,,,,,,,,,,,,,
Umpmax%_40,1,2,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmpmax%_40,,,,,,,,,,,1,,
Umpmax%_20,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmpmax%_20,,,,,,,,,,,,1,
Tmpmax%_100,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,50,60,61,65,66,70,71,75,76,80,81,85,86,90,91,95,96,100,50,,,,,,,,,,,,,,
Tmpmax%_60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,30,36,37,39,40,42,43,45,46,48,49,51,52,54,55,57,58,60,50,,,,,,,,,,,,,,
Tmpmax%_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,20,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,40,,,,,,,,,,,,,,
Tmpmax%_20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,10,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,30,,,,,,,,,,,,,,
Uhpregen%_80,1,100,,增加生命恢复速度%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thpregen%_80,,,,,,,,,,,,,
Uhpregen%_60,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Thpregen%_60,,,,,,,,,,,,,
Uhpregen%_40,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,Thpregen%_40,,,,,,,,,1,,,1,
Uhpregen%_30,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thpregen%_30,,,,,,,,1,,,,,
Thpregen%_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,1,60,72,73,88,89,104,105,120,121,136,137,152,153,168,169,184,185,200,25,,,,,,,,,,,,,,
Thpregen%_60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,1,45,54,55,66,67,78,79,90,91,102,103,114,115,126,127,138,139,150,20,,,,,,,,,,,,,,
Thpregen%_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,1,30,36,37,44,45,52,53,60,61,68,69,76,77,84,85,92,93,100,15,,,,,,,,,,,,,,
Thpregen%_30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,1,22,27,28,33,34,39,40,45,46,51,52,57,58,63,64,69,70,75,15,,,,,,,,,,,,,,
Umpregen%_80,1,100,,增加精气恢复速度%,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmpregen%_80,,,,,,,,,,,,,
Umpregen%_60,1,100,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmpregen%_60,,,,,,,,,,,1,,
Umpregen%_40,1,100,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Tmpregen%_40,,,,,,,,,,,,1,
Umpregen%_30,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tmpregen%_30,,,,,,,,1,,,,,
Tmpregen%_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,1,60,72,73,88,89,104,105,120,121,136,137,152,153,168,169,184,185,200,25,,,,,,,,,,,,,,
Tmpregen%_60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,1,45,54,55,66,67,78,79,90,91,102,103,114,115,126,127,138,139,150,20,,,,,,,,,,,,,,
Tmpregen%_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,1,30,36,37,44,45,52,53,60,61,68,69,76,77,84,85,92,93,100,15,,,,,,,,,,,,,,
Tmpregen%_30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,1,22,27,28,33,34,39,40,45,46,51,52,57,58,63,64,69,70,75,15,,,,,,,,,,,,,,
Ustr_80,1,100,,增加力量,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tstr_80,,,,,,,,,,,,,
Ustr_60,1,100,,,1,,,1,,1,,,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tstr_60,,,,,,,,,,,,,
Ustr_50,1,100,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Tstr_50,,,,,,,,,,,,,
Ustr_40,1,100,,,,,1,,1,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Tstr_40,,,,,,,1,,,,,1,
Ustr_30,1,100,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,Tstr_30,,,,,,,,1,,,,,
Ustr_20,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tstr_20,,,,,,,,,1,,,,
Tstr_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,8,16,17,24,25,32,33,40,41,48,49,56,57,64,65,72,73,80,20,,,,,,,,,,,,,,
Tstr_60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,6,12,13,18,19,24,25,30,31,36,37,42,43,48,49,54,55,60,20,,,,,,,,,,,,,,
Tstr_50,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,5,10,11,15,16,20,21,25,26,30,31,35,36,40,41,45,46,50,20,,,,,,,,,,,,,,
Tstr_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,4,8,9,12,13,16,17,20,21,24,25,28,29,32,33,36,37,40,20,,,,,,,,,,,,,,
Tstr_30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,3,6,7,9,10,12,13,15,16,18,19,21,22,24,25,27,28,30,20,,,,,,,,,,,,,,
Tstr_20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,,,,,,,,,,,,,,
Ucon_80,1,100,,增加体质,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tcon_80,,,,,,,,,,,,,
Ucon_60,1,100,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Tcon_60,,,,,,,,,,,,,
Ucon_50,1,100,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tcon_50,,,,,,,,,,,,1,
Ucon_40,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Tcon_40,,,,,,,,,1,,,,
Ucon_30,1,100,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,Tcon_30,,,,,,,,1,,,1,,
Ucon_20,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tcon_20,,,,,,,,,,,,,
Tcon_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,8,16,17,24,25,32,33,40,41,48,49,56,57,64,65,72,73,80,20,,,,,,,,,,,,,,
Tcon_60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,6,12,13,18,19,24,25,30,31,36,37,42,43,48,49,54,55,60,20,,,,,,,,,,,,,,
Tcon_50,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,5,10,11,15,16,20,21,25,26,30,31,35,36,40,41,45,46,50,20,,,,,,,,,,,,,,
Tcon_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,4,8,9,12,13,16,17,20,21,24,25,28,29,32,33,36,37,40,20,,,,,,,,,,,,,,
Tcon_30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,3,6,7,9,10,12,13,15,16,18,19,21,22,24,25,27,28,30,20,,,,,,,,,,,,,,
Tcon_20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,,,,,,,,,,,,,,
Udex_80,1,100,,增加敏捷,,,1,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tdex_80,,,,,,,,,,,,,
Udex_60,1,100,,,1,,,1,,1,,,1,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,Tdex_60,,,,,,,,,,,,,
Udex_50,1,100,,,,1,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tdex_50,,,,,,,,,,,,,
Udex_40,1,100,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Tdex_40,,,,,,,,,,1,,,
Udex_30,1,100,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,Tdex_30,,,,,,,,1,,,,,
Udex_20,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tdex_20,,,,,,1,1,,,,,,
Tdex_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,8,16,17,24,25,32,33,40,41,48,49,56,57,64,65,72,73,80,20,,,,,,,,,,,,,,
Tdex_60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,6,12,13,18,19,24,25,30,31,36,37,42,43,48,49,54,55,60,20,,,,,,,,,,,,,,
Tdex_50,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,5,10,11,15,16,20,21,25,26,30,31,35,36,40,41,45,46,50,20,,,,,,,,,,,,,,
Tdex_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,4,8,9,12,13,16,17,20,21,24,25,28,29,32,33,36,37,40,20,,,,,,,,,,,,,,
Tdex_30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,3,6,7,9,10,12,13,15,16,18,19,21,22,24,25,27,28,30,20,,,,,,,,,,,,,,
Tdex_20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,,,,,,,,,,,,,,
Uwis_80,1,100,,增加智慧,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Twis_80,,,,,,,,,,,,,
Uwis_60,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Twis_60,,,,,,,,,,,,1,
Uwis_50,1,100,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Twis_50,,,,,,,,,,,,,
Uwis_40,1,100,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Twis_40,,,,,,1,,,,,1,,
Uwis_30,1,100,,,1,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,Twis_30,,,,,,,,1,,,,,
Uwis_20,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Twis_20,,,,,,,,,,,,,
Twis_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,8,16,17,24,25,32,33,40,41,48,49,56,57,64,65,72,73,80,20,,,,,,,,,,,,,,
Twis_60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,6,12,13,18,19,24,25,30,31,36,37,42,43,48,49,54,55,60,20,,,,,,,,,,,,,,
Twis_50,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,5,10,11,15,16,20,21,25,26,30,31,35,36,40,41,45,46,50,20,,,,,,,,,,,,,,
Twis_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,4,8,9,12,13,16,17,20,21,24,25,28,29,32,33,36,37,40,20,,,,,,,,,,,,,,
Twis_30,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,3,6,7,9,10,12,13,15,16,18,19,21,22,24,25,27,28,30,20,,,,,,,,,,,,,,
Twis_20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,15,,,,,,,,,,,,,,
Usavvy_50,1,30,,增加悟性,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Tsavvy_50,,,,,,,,,,,,,
Usavvy_30,1,30,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsavvy_30,,,,,,,,,,,1,,
Usavvy_20,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsavvy_20,,,,,,,,1,,,,,
Tsavvy_50,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,5,10,11,15,16,20,21,25,26,30,31,35,36,40,41,45,46,50,30,,,,,,,,,,,,,,
Tsavvy_30,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,3,6,7,9,10,12,13,15,16,18,19,21,22,24,25,27,28,30,30,,,,,,,,,,,,,,
Tsavvy_20,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,30,,,,,,,,,,,,,,
Ucharm_50,1,40,,增加魅力,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Tcharm_50,,,,,,,,,,,,,
Ucharm_30,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,Tcharm_30,,,,,,,,,,,,,
Ucharm_20,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tcharm_20,,,,,,,,1,,,,,
Tcharm_50,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,5,10,11,15,16,20,21,25,26,30,31,35,36,40,41,45,46,50,30,,,,,,,,,,,,,,
Tcharm_30,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,3,6,7,9,10,12,13,15,16,18,19,21,22,24,25,27,28,30,30,,,,,,,,,,,,,,
Tcharm_20,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,30,,,,,,,,,,,,,,
Usr_600,1,100,,增加命中率,1,,1,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsr_600,,,,,,,,,,,,,
Usr_400,1,100,,,,1,,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsr_400,,,,,,,,,,,,,
Usr_400a,1,200,,护腕专用,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,Tsr_400,,,,,,,,,,,,,
Usr_300,1,100,,,,,,,1,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsr_300,,,,,,,,,,,,,
Usr_200,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,Tsr_200,,,,,,1,1,,,1,,,
Tsr_600,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,0,36,72,73,138,139,204,205,270,271,336,337,402,403,468,469,534,535,600,20,,,,,,,,,,,,,,
Tsr_400,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,0,24,48,49,92,93,136,137,180,181,224,225,268,269,312,313,356,357,400,15,,,,,,,,,,,,,,
Tsr_300,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,0,18,36,37,69,70,102,103,135,136,168,169,201,202,234,235,267,268,300,15,,,,,,,,,,,,,,
Tsr_200,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,0,12,24,25,46,47,68,69,90,91,112,113,134,135,156,157,178,179,200,10,,,,,,,,,,,,,,
Usr%_100,4,10,,增加命中率%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsr%_100,,,,,,,,,,,,,
Usr%_80,4,10,,,1,1,1,1,,,,,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsr%_80,,,,,,,,,,,,,
Usr%_40,4,10,,,,,,,1,1,1,1,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsr%_40,,,,,,,,,,,,,
Usr%_20,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,Tsr%_20,,,,,,,,,,1,,,
Tsr%_100,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,1,50,60,61,65,66,70,71,75,76,80,81,85,86,90,91,95,96,100,30,,,,,,,,,,,,,,
Tsr%_80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,1,40,48,49,52,53,56,57,60,61,64,65,68,69,72,73,76,77,80,20,,,,,,,,,,,,,,
Tsr%_40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,1,20,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,20,,,,,,,,,,,,,,
Tsr%_20,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,1,10,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,,,,,,,,,,,,,,
Uhr_400,1,100,,增加闪避率,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Thr_400,,,,,,,,,,,,,
Uhr_250,1,80,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Thr_250,,,,,,,,,,,1,1,
Uhr_200,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Thr_200,,,,,,,,,,,,,
Uhr_150,1,50,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thr_150,,,,,,,,,1,1,,,
Thr_400,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,40,80,81,120,121,160,161,200,201,240,241,280,281,320,321,360,361,400,20,,,,,,,,,,,,,,
