级别,名称,别名,道具类型,文字介绍ID,基准价格,重量,速度(1-5),唯一,等级限制,力量限制,敏捷限制,体质限制,攻击力小,攻击力大,防御力小,防御力大,耐久度小,耐久度大,最小特性数,最大特性数,抽取特性类型1,类型1概率,抽取特性类型2,类型2概率,抽取特性类型3,类型3概率,抽取特性类型4,类型4概率,抽取特性类型5,类型5概率,道具栏图片ID,地面图片ID,游侠,力士,刺客,术士,巫师,名称ID,五行属性,五行攻击,五行攻击MAX,五行防御,五行防御MAX,相生特性,镶嵌宝石数量,相生属性出现几率,五行属性出现几率
1,蓝宝石,lanbaoshi,0,215,100,1,,,1,,,,,,,,,,0,0,,,Ugem3_1,100,,,,,,,3522,weapon_sword_ancient_angel_new,,,,,,11,3,4,8,24,32,,,0,100
3,紫牙乌,ziyawu,0,208,300,1,,,9,,,,,,,,,,0,0,,,Ugem3_2,100,,,,,,,3522,weapon_sword_ancient_angel_new,,,,,,12,3,6,12,38,48,,,0,100
5,青海玉,qinghaiyu,0,210,800,1,,,17,,,,,,,,,,0,0,,,Ugem3_3,100,,,,,,,3522,weapon_sword_ancient_angel_new,,,,,,13,3,8,16,52,68,,,0,100
7,独山玉 ,dushanyu,0,209,2100,1,,,25,,,,,,,,,,0,0,,,Ugem3_4,100,,,,,,,3522,weapon_sword_ancient_angel_new,,,,,,14,3,11,22,72,92,,,0,100
9,羊脂玉 ,yangzhiyu,0,217,5500,1,,,33,,,,,,,,,,0,0,,,Ugem3_5,100,,,,,,,3522,weapon_sword_ancient_angel_new,,,,,,15,3,15,30,96,120,,,0,100
9,羊脂玉 ,yangzhiyu,0,217,5500,1,,,33,,,,,,,,,,0,0,,,Ugem3_5,100,,,,,,,3522,weapon_sword_ancient_angel_new,,,,,,15,3,15,30,96,120,,,0,100
9,羊脂玉 ,yangzhiyu,0,217,5500,1,,,33,,,,,,,,,,0,0,,,Ugem3_5,100,,,,,,,3522,weapon_sword_ancient_angel_new,,,,,,15,3,15,30,96,120,,,0,100
1,玛瑙,manao,0,221,100,1,,,1,,,,,,,,,,0,0,,,Ugem4_1,100,,,,,,,3523,weapon_sword_ancient_angel_new,,,,,,16,4,4,8,24,32,,,0,100
3,齐彩石,qicaishi,0,207,300,1,,,9,,,,,,,,,,0,0,,,Ugem4_2,100,,,,,,,3523,weapon_sword_ancient_angel_new,,,,,,17,4,6,12,38,48,,,0,100
5,梅花玉 ,meihuayu,0,219,800,1,,,17,,,,,,,,,,0,0,,,Ugem4_3,100,,,,,,,3523,weapon_sword_ancient_angel_new,,,,,,18,4,8,16,52,68,,,0,100
7,孔雀石,kongqueshi,0,204,2100,1,,,25,,,,,,,,,,0,0,,,Ugem4_4,100,,,,,,,3523,weapon_sword_ancient_angel_new,,,,,,19,4,11,22,72,92,,,0,100
9,照殿红,zhaodianhong,0,225,5500,1,,,33,,,,,,,,,,0,0,,,Ugem4_5,100,,,,,,,3523,weapon_sword_ancient_angel_new,,,,,,20,4,15,30,96,120,,,0,100
9,照殿红,zhaodianhong,0,225,5500,1,,,33,,,,,,,,,,0,0,,,Ugem4_5,100,,,,,,,3523,weapon_sword_ancient_angel_new,,,,,,20,4,15,30,96,120,,,0,100
9,照殿红,zhaodianhong,0,225,5500,1,,,33,,,,,,,,,,0,0,,,Ugem4_5,100,,,,,,,3523,weapon_sword_ancient_angel_new,,,,,,20,4,15,30,96,120,,,0,100
1,灰玉,huiyu,0,202,100,1,,,1,,,,,,,,,,0,0,,,Ugem5_1,100,,,,,,,3524,weapon_sword_ancient_angel_new,,,,,,21,5,4,8,24,32,,,0,100
3,东陵石,donglingshi,0,205,300,1,,,9,,,,,,,,,,0,0,,,Ugem5_2,100,,,,,,,3524,weapon_sword_ancient_angel_new,,,,,,22,5,6,12,38,48,,,0,100
5,寿山石,shoushanshi,0,224,800,1,,,17,,,,,,,,,,0,0,,,Ugem5_3,100,,,,,,,3524,weapon_sword_ancient_angel_new,,,,,,23,5,8,16,52,68,,,0,100
7,墨玉,moyu,0,216,2100,1,,,25,,,,,,,,,,0,0,,,Ugem5_4,100,,,,,,,3524,weapon_sword_ancient_angel_new,,,,,,24,5,11,22,72,92,,,0,100
9,昆仑玉,hunlunxiuyu,0,223,5500,1,,,33,,,,,,,,,,0,0,,,Ugem5_5,100,,,,,,,3524,weapon_sword_ancient_angel_new,,,,,,25,5,15,30,96,120,,,0,100
9,昆仑玉,hunlunxiuyu,0,223,5500,1,,,33,,,,,,,,,,0,0,,,Ugem5_5,100,,,,,,,3524,weapon_sword_ancient_angel_new,,,,,,25,5,15,30,96,120,,,0,100
9,昆仑玉,hunlunxiuyu,0,223,5500,1,,,33,,,,,,,,,,0,0,,,Ugem5_5,100,,,,,,,3524,weapon_sword_ancient_angel_new,,,,,,25,5,15,30,96,120,,,0,100
2,精卫石,jingweishi,0,218,100,1,,,1,,,,,,,,,,0,0,,,Ugemapdp,100,,,,,,,3525,weapon_sword_ancient_angel_new,,,,,,26,,,,,,,,,
1,东海石,donghaishi,0,226,300,1,,,1,,,,,,,,,,1,3,,,Tgemduration,100,,,,,,,3526,weapon_sword_ancient_angel_new,,,,,,27,,,,,,,,,
4,东海石,donghaishi,0,226,300,1,,,1,,,,,,,,,,1,3,,,Tgemsr,30,Tgemhr,30,Tgemhpmax,20,Tgemmpmax,20,3526,weapon_sword_ancient_angel_new,,,,,,27,,,,,,,,,
6,东海石,donghaishi,0,226,300,1,,,1,,,,,,,,,,1,3,,,Tgemstr,25,Tgemcon,25,Tgemdex,25,Tgemwis,25,3526,weapon_sword_ancient_angel_new,,,,,,27,,,,,,,,,
8,东海石,donghaishi,0,226,300,1,,,1,,,,,,,,,,1,3,,,Tgemcharm,50,Tgemsavvy,50,,,,,3526,weapon_sword_ancient_angel_new,,,,,,27,,,,,,,,,
8,东海石,donghaishi,0,226,300,1,,,1,,,,,,,,,,1,3,,,Tgemstrreq,40,Tgemconreq,30,Tgemdexreq,30,,,3526,weapon_sword_ancient_angel_new,,,,,,27,,,,,,,,,
8,补天石,butianshi,0,227,700,1,,,16,,,,,,,,,,1,1,,,Tgemsr%,30,Tgemhr%,30,Tgemhpmax%,20,Tgemmpmax%,20,3527,weapon_sword_ancient_angel_new,,,,,,28,,,,,,,,,
9,黄帝石,huangdishi,0,228,1000,1,,,25,,,,,,,,,,0,0,,,Ugemrange,50,Ugemhpsteal,30,Ugemapdp%,15,Ugemdeadly,5,3528,weapon_sword_ancient_angel_new,,,,,,29,,,,,,,,,
9,黄帝石,huangdishi,0,228,1000,1,,,25,,,,,,,,,,0,0,,,Ugemknockout,50,Ugemmpsteal,30,Ugemattackspeed,15,Ugemcritical,5,3528,weapon_sword_ancient_angel_new,,,,,,29,,,,,,,,,
1,普通铜剑,putongtongjian,10,1032,83,5,20,N,1,,,,7,20,,,32,48,0,5,Unique10_1a,0,Uap%_30,5,,,,,,,3676,weapon_sword_ancient_angel_new,RH_002_001,,,,,143,3,3,15,,,Uap_80,1,20,25
2,精制铜剑,jingzhitongjian,10,1034,122,6,40,N,5,,48,,8,15,,,36,48,1,5,Unique10_2a,0,Tsr_400,30,,,,,,,3677,weapon_sword_ancient_angel_new,RH_005_001,,,,,144,1,10,25,,,Tdex_80,2,20,30
2,春秋铜剑,chunqiutongjian,10,1033,149,7,10,N,7,50,45,,15,30,,,36,52,0,5,Unique10_2b,0,Thpregen%_80,30,,,,,,,3678,weapon_sword_ancient_angel_new,RH_007_001,,,,,145,2,10,15,,,Thpmax_300,1,20,35
3,羊首长剑,yangshouchangjian,10,1035,166,9,-10,N,10,,63,,8,16,,,40,64,0,5,Unique10_3a,0,Umapx4_60,5,,,,,,,3679,weapon_sword_ancient_angel_new,RH_006_001,,,,,146,4,24,42,,,Umap4_80,1,20,100
3,龙纹剑,longwenjian,10,1036,205,7,30,N,12,72,64,,12,24,,,32,56,0,6,Unique10_3b,0,Tmpregen%_80,30,,,,,,,3680,weapon_sword_ancient_angel_new,RH_002_001,,,,,147,2,5,22,,,Tmpmax%_60,2,20,50
4,鹿首长剑,lushouchangjian,10,1038,263,9,20,N,15,,78,,8,20,,,32,56,1,5,Unique10_4a,0,Umapx5_60,8,,,,,,,3681,weapon_sword_ancient_angel_new,RH_008_001,,,,,148,5,18,44,,,Umap5_80,1,20,100
4,鹿卢剑,lulujian,10,1073,315,8,-15,N,17,105,,,30,52,,,32,60,0,6,Unique10_4b,0,,,,,,,,,3682,weapon_sword_ancient_angel_new,RH_005_001,,,,,149,4,8,20,,,Tstr_80,2,20,0
5,金柄铁剑,jinbingtiejian,10,1042,304,9,10,N,20,,110,,4,16,,,48,60,1,5,Unique10_5a,0,Umapx1_60,8,,,,,,,3683,weapon_sword_ancient_angel_new,RH_002_001,,,,,150,1,27,55,,,Tattackspeed_60,2,25,100
5,玄铁剑,xuantiejian,10,1074,371,15,-30,N,22,141,,,38,72,,,40,56,0,6,Unique10_5b,0,,,,,,,,,3684,weapon_sword_ancient_angel_new,RH_006_001,,,,,151,5,10,20,,,Uap%_50,1,20,0
6,吴王光剑,wuwangguangjian,10,1041,420,10,45,N,23,,118,,5,20,,,32,56,0,5,Unique10_6a,0,Umapx3_60,8,,,,,,,3685,weapon_sword_ancient_angel_new,RH_007_001,,,,,152,3,22,60,,,Umap3_80,1,25,100
6,泣血剑,qixuejian,10,1054,483,8,0,N,25,120,85,,24,48,,,42,54,1,6,Unique10_6b,0,Thpmax_150,40,,,,,,,3686,weapon_sword_ancient_angel_new,RH_008_001,,,,,153,4,24,48,,,Thpsteal_15,2,20,50
7,越王北古剑 ,yuewangbeigujian,10,1052,510,12,-10,N,28,170,,,40,78,,,40,56,1,5,Unique10_7a,0,Tsr_400,40,,,,,,,3687,weapon_sword_ancient_angel_new,RH_006_001,,,,,154,5,8,24,,,Trange_2,2,20,0
7,聂王剑,niewangjian,10,1075,561,9,50,N,31,,135,,6,10,,,44,64,0,6,Unique10_7b,0,Umapx2_60,10,,,,,,,3688,weapon_sword_ancient_angel_new,RH_002_001,,,,,155,2,30,63,,,Umap2_80,1,25,100
8,吴王夫差剑,wuwangfuchaijian,10,1045,577,10,10,N,33,,129,,10,15,,,36,72,0,7,Unique10_8a,0,Umapx1_60,25,Umapx5_60,25,Umapx3_60,25,Umapx4_60,25,3689,weapon_sword_ancient_angel_new,RH_005_001,,,,,156,3,10,15,,,Twis_80,3,30,0
8,烈火剑,liehuojian,10,1072,729,13,30,N,36,,155,,9,15,,,40,72,1,5,Unique10_8b,0,Umapx4_60,10,,,,,,,3690,weapon_sword_ancient_angel_new,RH_007_001,,,,,157,4,32,72,,,Umap4%_50,1,20,100
9,越王勾践剑,yuewanggoujianjian,10,1046,891,12,0,N,38,,146,,8,16,,,48,64,0,5,Unique10_9a,0,Umapx5_60,10,,,,,,,3691,weapon_sword_ancient_angel_new,RH_006_001,,,,,158,5,42,84,,,Tstone_60,1,30,100
9,龙泉剑,longquanjian,10,1043,998,8,20,N,40,210,,,50,80,,,30,66,0,6,Unique10_9b,0,,,,,,,,,3692,weapon_sword_ancient_angel_new,RH_008_001,,,,,159,1,9,24,,,Tcritical_30,2,25,0
1,普通铜剑,putongtongjian1,10,1032,83,5,20,Y,1,,,,7,20,,,32,48,0,5,Unique10_1a,0,,,,,,,,,3676,weapon_sword_ancient_angel_new,RH_002_001,,,,,143,3,2,10,,,Uap_80,1,100,0
7,聂王剑,niewangjian2,10,1075,561,9,50,Y,,,,,6,10,,,44,64,0,0,Unique10_7b,0,,,,,,,,,3688,weapon_sword_ancient_angel_new,RH_002_001,,,,,155,2,30,63,,,,1,0,100
9,工布剑,gongbujian,10,1037,155,7,0,Y,16,80,65,,20,32,,,60,60,0,0,Unique10_gongbu,100,,,,,,,,,3693,weapon_sword_ancient_angel_new,RH_002_001,,,,,160,2,20,32,,,Tsavvy_40u,1,100,0
9,巨阙剑 ,juquejian,10,1039,210,15,-20,Y,18,100,,,40,56,,,80,80,0,0,Unique10_juque,100,,,,,,,,,3695,weapon_sword_ancient_angel_new,RH_007_001,,,,,162,5,8,24,,,Tdp%_50u,1,100,0
9,干将剑,ganjiangjian,10,1051,410,9,0,Y,22,110,75,,45,60,,,64,64,0,0,Unique10_ganjiang,100,,,,,,,,,3698,weapon_sword_ancient_angel_new,RH_002_001,,,,,165,4,10,20,,,Tattackspeed_40u,1,100,0
9,莫邪剑,moyejian1,10,1050,410,8,0,Y,22,75,110,,10,20,,,64,64,0,0,Unique10_moye,100,,,,,,,,,3697,weapon_sword_ancient_angel_new,RH_008_001,,,,,164,3,45,60,,,Tattackspeed_40u,1,100,0
9,湛卢剑 ,zhanlujian,10,1048,520,10,30,Y,35,80,140,,12,20,,,50,50,0,0,Unique10_zhanlu,100,,,,,,,,,3694,weapon_sword_ancient_angel_new,RH_005_001,,,,,161,3,45,60,,,Umap3%_40u,1,100,0
9,泰阿剑,taiajian,10,1040,910,11,-10,Y,42,180,,,70,90,,,60,60,0,0,Unique10_taia,100,,,,,,,,,3696,weapon_sword_ancient_angel_new,RH_006_001,,,,,163,1,8,10,,,Tcritical_50u,1,100,0
9,闻麟剑,wenlinjian,10,1061,1061,12,0,Y,45,270,150,,60,75,,,40,40,4,4,Unique10_wenlin,100,,,,,,,,,4068,weapon_sword_ancient_angel_new,RH_002_001,,,,,39,1,12,18,,,Tcritical_100u,1,100,0
9,莫邪剑,moyejian2,10,1077,180,8,0,Y,22,75,110,,10,20,,,64,64,0,0,Unique10_moye2,100,,,,,,,,,3699,weapon_sword_ancient_angel_new,RH_008_001,,,,,164,3,35,50,,,Tattackspeed_20u,1,100,0
1,长剑1,10_1,10,2075,10,3,10,Y,1,,34,,6,24,,,40,56,0,3,,,Umap1_60,10,,,,,,,3676,weapon_sword_ancient_angel_new,RH_002_001,,,,,142,1,5,20,,,,1,0,100
2,长剑2,10_2,10,2075,20,4,10,Y,3,,48,,6,24,,,40,56,0,3,,,Umap1_60,10,,,,,,,3677,weapon_sword_ancient_angel_new,RH_005_001,,,,,142,1,6,23,,,,1,0,100
3,长剑3,10_3,10,2075,30,5,10,Y,5,,62,,6,24,,,40,56,0,3,,,Umap1_60,10,,,,,,,3679,weapon_sword_ancient_angel_new,RH_006_001,,,,,142,1,7,26,,,,1,0,100
4,长剑4,10_4,10,2075,40,6,10,Y,7,,76,,6,24,,,40,56,0,3,,,Umap1_60,15,,,,,,,3681,weapon_sword_ancient_angel_new,RH_008_001,,,,,142,1,8,29,,,,1,0,100
5,长剑5,10_5,10,2075,50,7,10,Y,9,,90,,6,24,,,40,56,0,3,,,Umap1_60,15,,,,,,,3683,weapon_sword_ancient_angel_new,RH_002_001,,,,,142,1,9,32,,,,1,0,100
6,长剑6,10_6,10,2075,60,8,10,Y,11,,104,,6,24,,,40,56,0,3,,,Umap1_60,15,,,,,,,3685,weapon_sword_ancient_angel_new,RH_007_001,,,,,142,1,10,35,,,,1,0,100
7,长剑7,10_7,10,2075,70,9,10,Y,13,,118,,6,24,,,40,56,0,3,,,Umap1_60,20,,,,,,,3687,weapon_sword_ancient_angel_new,RH_006_001,,,,,142,1,11,38,,,,1,0,100
8,长剑8,10_8,10,2075,80,10,10,Y,15,,132,,6,24,,,40,56,0,3,,,Umap1_60,20,,,,,,,3689,weapon_sword_ancient_angel_new,RH_005_001,,,,,142,1,12,41,,,,1,0,100
9,长剑9,10_9,10,2075,90,11,10,Y,17,,146,,6,24,,,40,56,0,3,,,Umap1_60,20,,,,,,,3691,weapon_sword_ancient_angel_new,RH_006_001,,,,,142,1,13,44,,,,1,0,100
1,猎弓,liegong,11,1100,64,4,40,N,1,,,,6,14,,,64,96,0,5,Unique11_1a,0,,,,,,,,,3704,weapon_sword_ancient_angel_new,RH_004_002*LH_005_002,,RH_005_002*LH_005_002,,,167,5,5,8,,,Tattackspeed_50,1,20,25
2,松木弓,songmugong,11,1101,105,5,0,N,5,,55,,3,6,,,80,100,1,5,Unique11_2a,0,Umapx2_40,5,,,,,,,3705,weapon_sword_ancient_angel_new,RH_004_002*LH_006_002,,RH_006_002*LH_006_002,,,168,2,15,25,,,Umap2%_50,2,20,100
3,铁弓,tiegong,11,1102,186,8,-10,N,10,65,60,,20,40,,,72,100,1,4,Unique11_3a,0,,,,,,,,,3706,weapon_sword_ancient_angel_new,RH_004_002*LH_004_002,,RH_007_002*LH_007_002,,,169,1,4,10,,,Tstr_80,2,20,0
4,蜀山之弓,shushanzhigong,11,1104,250,6,20,N,14,,100,,6,10,,,60,100,1,5,Unique11_4a,0,Umapx4_40,8,,,,,,,3707,weapon_sword_ancient_angel_new,RH_004_002*LH_005_002,,RH_005_002*LH_005_002,,,170,4,16,35,,,Umap4_60,1,30,100
5,黄金雁尾弓,huangjinyanweigong,11,1138,380,9,-15,N,19,57,75,,25,45,,,80,100,0,6,Unique11_5a,0,Thpmax_150,30,,,,,,,3708,weapon_sword_ancient_angel_new,RH_004_002*LH_006_002,,RH_006_002*LH_006_002,,,171,1,15,24,,,Thpsteal_10,2,20,50
6,燕赵长弓,yanzhaochanggong,11,1105,328,7,0,N,22,95,,,30,56,,,80,100,0,5,Unique11_6a,0,,,,,,,,,3709,weapon_sword_ancient_angel_new,RH_004_002*LH_004_002,,RH_007_002*LH_007_002,,,172,3,6,10,,,Tcritical_50,1,25,0
6,李牧弓,limugong,11,1103,419,7,30,N,25,,155,,4,12,,,80,100,1,6,Unique11_6b,0,Umapx5_40,8,,,,,,,3710,weapon_sword_ancient_angel_new,RH_004_002*LH_006_002,,RH_005_002*LH_005_002,,,173,5,25,50,,,Umap5_60,1,25,100
7,穿影之弓,chanyingzhigong,11,1106,376,8,15,N,28,,162,,6,12,,,80,100,0,6,Unique11_7a,0,Umapx1_40,10,Umapx2_40,10,Umapx3_40,10,Umapx4_40,10,3711,weapon_sword_ancient_angel_new,RH_004_002*LH_005_002,,RH_006_002*LH_006_002,,,174,4,8,16,,,Twis_80,3,30,100
7,擎日之弓,qingrizhigong,11,1109,486,10,0,N,31,113,144,,35,70,,,80,100,1,6,Unique11_7b,0,,,,,,,,,3712,weapon_sword_ancient_angel_new,RH_004_002*LH_004_002,,RH_007_002*LH_007_002,,,175,3,7,15,,,Tknockout_60,2,25,0
8,望天之弓,wangtianzhigong,11,1107,500,12,-25,N,35,125,180,,54,90,,,80,100,0,6,Unique11_8a,0,,,,,,,,,3713,weapon_sword_ancient_angel_new,RH_004_002*LH_005_002,,RH_005_002*LH_005_002,,,176,2,8,15,,,Uap%_50,1,25,0
8,赤金弓,chijingong,11,1140,632,9,-10,N,38,,196,,8,14,,,80,100,0,6,Unique11_8b,0,Umapx1_40,10,,,,,,,3714,weapon_sword_ancient_angel_new,RH_004_002*LH_006_002,,RH_006_002*LH_006_002,,,177,1,45,72,,,Umap1_60,1,25,100
9,月影弓,yueyinggong,11,1139,834,9,20,N,42,,210,,7,15,,,80,100,1,6,Unique11_9a,0,Umapx3_40,10,,,,,,,3715,weapon_sword_ancient_angel_new,RH_004_002*LH_004_002,,RH_007_002*LH_007_002,,,178,3,40,64,,,Umap3%_40,1,25,100
1,猎弓,liegong1,11,1100,64,4,40,Y,1,,,,6,14,,,64,96,0,0,Unique11_1a,0,,,,,,,,,3704,weapon_sword_ancient_angel_new,RH_004_002*LH_005_002,,RH_005_002*LH_005_002,,,167,,,,,,,1,0,0
2,松木弓,songmugong1,11,1101,105,5,0,Y,1,,,,3,6,,,80,100,0,0,Unique11_2a,0,,,,,,,,,3705,weapon_sword_ancient_angel_new,RH_004_002*LH_006_002,,RH_006_002*LH_006_002,,,168,2,15,25,,,,1,0,100
9,射日弓,sherigong,11,1108,575,10,0,Y,40,,200,,5,15,,,100,100,0,0,Unique11_sheri,100,,,,,,,,,3716,weapon_sword_ancient_angel_new,RH_004_002*LH_004_002,,RH_007_002*LH_007_002,,,179,4,45,60,,,Twis_60u,1,100,0
1,弓,11_1,11,2075,10,3,10,Y,1,,40,,8,16,,,72,100,0,3,,,Umap1_40,10,,,,,,,3704,weapon_sword_ancient_angel_new,RH_004_002*LH_005_002,,RH_005_002*LH_005_002,,,166,1,8,13,,,,1,0,100
2,弓,11_2,11,2075,20,3,10,Y,3,,60,,8,16,,,72,100,0,3,,,Umap1_40,10,,,,,,,3705,weapon_sword_ancient_angel_new,RH_004_002*LH_006_002,,RH_006_002*LH_006_002,,,166,1,9,15,,,,1,0,100
3,弓,11_3,11,2075,30,4,10,Y,5,,80,,8,16,,,72,100,0,3,,,Umap1_40,10,,,,,,,3706,weapon_sword_ancient_angel_new,RH_004_002*LH_004_002,,RH_007_002*LH_007_002,,,166,1,10,17,,,,1,0,100
4,弓,11_4,11,2075,40,4,10,Y,7,,100,,8,16,,,72,100,0,3,,,Umap1_40,15,,,,,,,3707,weapon_sword_ancient_angel_new,RH_004_002*LH_005_002,,RH_005_002*LH_005_002,,,166,1,11,19,,,,1,0,100
5,弓,11_5,11,2075,50,5,10,Y,9,,120,,8,16,,,72,100,0,3,,,Umap1_40,15,,,,,,,3708,weapon_sword_ancient_angel_new,RH_004_002*LH_006_002,,RH_006_002*LH_006_002,,,166,1,12,21,,,,1,0,100
6,弓,11_6,11,2075,60,5,10,Y,11,,140,,8,16,,,72,100,0,3,,,Umap1_40,15,,,,,,,3709,weapon_sword_ancient_angel_new,RH_004_002*LH_004_002,,RH_007_002*LH_007_002,,,166,1,13,23,,,,1,0,100
7,弓,11_7,11,2075,70,6,10,Y,13,,160,,8,16,,,72,100,0,3,,,Umap1_40,20,,,,,,,3711,weapon_sword_ancient_angel_new,RH_004_002*LH_005_002,,RH_006_002*LH_006_002,,,166,1,14,25,,,,1,0,100
8,弓,11_8,11,2075,80,6,10,Y,15,,180,,8,16,,,72,100,0,3,,,Umap1_40,20,,,,,,,3713,weapon_sword_ancient_angel_new,RH_004_002*LH_005_002,,RH_005_002*LH_005_002,,,166,1,15,27,,,,1,0,100
9,弓,11_9,11,2075,90,7,10,Y,17,,200,,8,16,,,72,100,0,3,,,Umap1_40,20,,,,,,,3715,weapon_sword_ancient_angel_new,RH_004_002*LH_004_002,,RH_007_002*LH_007_002,,,166,1,16,29,,,,1,0,100
1,普通弩,putongnu,12,1110,88,7,0,N,1,,,,10,24,,,60,100,0,5,Unique12_1a,0,,,,,,,,,3721,weapon_sword_ancient_angel_new,,,RH_008_003,,,181,2,1,3,,,Uap_80,1,20,25
2,猎弩,lienu,12,1111,130,6,30,N,6,46,54,,12,30,,,72,100,1,5,Unique12_2a,0,Tsr_400,20,,,,,,,3722,weapon_sword_ancient_angel_new,,,RH_009_003,,,182,5,1,2,,,Tstr_80,2,20,25
3,楚弩,chunu,12,1112,223,8,10,N,12,68,78,,24,45,,,80,100,0,6,Unique12_3a,0,,,,,,,,,3723,weapon_sword_ancient_angel_new,,,RH_010_003,,,183,3,3,8,,,Tcritical_50,1,25,40
4,黄桦弩,huanghuanu,12,1113,238,11,-10,N,16,90,80,,38,62,,,60,100,0,5,Unique12_4a,0,,,,,,,,,3724,weapon_sword_ancient_angel_new,,,RH_008_003,,,184,2,3,6,,,Tdeadly_50,1,20,40
5,连弩,liannu,12,1114,432,10,80,N,22,,128,,24,32,,,80,100,0,5,Unique12_5a,0,,,,,,,,,3725,weapon_sword_ancient_angel_new,,,RH_009_003,,,185,4,2,8,,,Tattackspeed_60,2,25,50
6,屈大夫弩,qudafunu,12,1115,448,12,20,N,25,120,100,,35,70,,,80,100,1,6,Unique12_6a,0,,,,,,,,,3726,weapon_sword_ancient_angel_new,,,RH_010_003,,,186,1,5,15,,,Thpsteal_15,2,25,60
7,护国弩,huguonu,12,1116,598,11,0,N,31,144,84,,50,93,,,80,100,1,5,Unique12_7a,0,,,,,,,,,3727,weapon_sword_ancient_angel_new,,,RH_008_003,,,187,5,4,18,,,Tknockout_60,2,20,30
8,孙膑强弩,sunbinqiangnu,12,1117,810,12,40,N,38,172,120,,44,72,,,80,100,0,6,Unique12_8a,0,,,,,,,,,3728,weapon_sword_ancient_angel_new,,,RH_009_003,,,188,4,2,4,,,Trange_2,2,25,30
9,霸王弩,bawangnu,12,1118,1140,18,-30,N,44,216,145,,85,158,,,80,100,0,6,Unique12_9a,0,,,,,,,,,3729,weapon_sword_ancient_angel_new,,,RH_010_003,,,189,2,8,15,,,Uap%_50,1,25,25
3,楚弩,chunu1,12,1112,223,8,10,Y,1,,,,24,45,,,80,100,0,0,Unique12_3a,0,,,,,,,,,3723,weapon_sword_ancient_angel_new,,,RH_010_003,,,183,,,,,,,1,0,0
